ID_CROPS_WL,ID_GROUP_ICC
341,1
342,1
36,1
311,1
312,1
201,1
202,1
39,
321,1
322,1
323,1
37,1
331,1
332,1
351,1
352,1
381,1
382,1
9516,3
9717,3
9742,3
9741,3
885,
96,
951,2
954,9
958,9
9521,2
9511,2
8511,2
9525,2
8525,2
8535,2
8564,2
9535,2
9564,2
8543,2
8551,2
8539,2
9543,2
8548,2
960,2
860,2
9536,2
9529,2
8529,2
8512,2
9512,2
8523,2
9523,2
9548,2
9527,2
8527,2
8540,2
9540,2
8524,2
8546,2
8526,2
9541,2
8541,2
9456,2
8456,2
9513,2
8513,2
8561,2
9515,2
9519,2
8519,2
9534,2
8534,2
9588,2
9724,
8516,3
9410,2
8410,2
9518,2
8518,2
966,
746,9
8563,2
8514,2
9563,2
9514,2
9560,
9520,
959,6
859,6
953,6
9584,
9538,2
8538,2
931,7
831,7
9517,3
8517,3
8537,2
9537,2
8533,5
9552,2
8552,2
952,2
9716,3
9201,3
9202,3
4111,4
4112,4
4121,4
4122,4
45,4
43,4
42,4
46,4
922,9
872,9
921,9
902,5
901,5
903,5
904,5
905,5
71,9
73,9
610,9
618,9
670,9
678,9
600,9
608,9
62,9
623,9
72,9
7433,2
742,9
743,9
521,7
522,7
57,9
53,9
56,9
541,7
542,7
543,7
511,7
512,7
58,9
55,7
881,
91,8
9811,2
9812,2
811,9
812,9
813,9
883,
821,
9822,6
884,9
7431,9
953,6
957,6
9821,9
874,
751,
754,
752,
760,
85,
